Match number,blueBans,redBans
1078,"['Syndra', 'Thresh', 'Tristana', 'KogMaw', 'Sivir']","['Caitlyn', 'Kalista', 'Zac', 'Shen', 'Gnar']"
1079,"['Leblanc', 'Thresh', 'Tristana', 'Gnar', 'Alistar']","['Caitlyn', 'Zac', 'Kalista', 'Varus', 'Blitzcrank']"
1080,"['JarvanIV', 'Tristana', 'Caitlyn', 'Twitch', 'Varus']","['Thresh', 'Taliyah', 'Kalista', 'KogMaw', 'Alistar']"
1081,"['Leblanc', 'Tristana', 'Orianna', 'Shen', 'Taric']","['Zac', 'Kalista', 'Gragas', 'Galio', 'Kennen']"
1082,"['Leblanc', 'Elise', 'Zac', 'Renekton', 'Blitzcrank']","['Tristana', 'JarvanIV', 'Orianna', 'Gnar', 'Shen']"
1083,"['Leblanc', 'Tristana', 'Zac', 'Renekton', 'Maokai']","['Cassiopeia', 'Kalista', 'Gragas', 'Shen', 'Chogath']"
1084,"['Cassiopeia', 'Twitch', 'Kalista', 'Morgana', 'Renekton']","['JarvanIV', 'Elise', 'Zac', 'Shen', 'Rumble']"
1085,"['JarvanIV', 'Lucian', 'RekSai', 'Renekton', 'Varus']","['Taliyah', 'Kalista', 'Orianna', 'Viktor', 'AurelionSol']"
1086,"['JarvanIV', 'Lucian', 'RekSai', 'Chogath', 'Renekton']","['Taliyah', 'Kalista', 'Orianna', 'Gnar', 'Corki']"
1087,"['JarvanIV', 'Lucian', 'RekSai', 'Renekton', 'Chogath']","['Taliyah', 'Kalista', 'Orianna', 'Gnar', 'AurelionSol']"
1088,"['Lucian', 'JarvanIV', 'Thresh', 'Blitzcrank', 'Rumble']","['Taliyah', 'Kalista', 'Orianna', 'Corki', 'AurelionSol']"
1089,"['Taliyah', 'AurelionSol', 'Orianna', 'Morgana', 'Leblanc']","['Lucian', 'JarvanIV', 'Thresh', 'Cassiopeia', 'Galio']"
1090,"['JarvanIV', 'Tristana', 'Twitch', 'TahmKench', 'Morgana']","['Zac', 'Kalista', 'AurelionSol', 'Orianna', 'Sejuani']"
1091,"['AurelionSol', 'Viktor', 'Orianna', 'Gnar', 'Jax']","['JarvanIV', 'Zac', 'Kalista', 'TahmKench', 'Morgana']"
1092,"['AurelionSol', 'Viktor', 'Orianna', 'Gnar', 'Jax']","['Zac', 'Kalista', 'Cassiopeia', 'Alistar', 'Chogath']"
1093,"['Twitch', 'Cassiopeia', 'Zac', 'Syndra', 'Orianna']","['Ashe', 'Rakan', 'Maokai', 'Chogath', 'Leblanc']"
1094,"['Leblanc', 'Ashe', 'Rakan', 'Chogath', 'Galio']","['Zac', 'Kalista', 'Tristana', 'Renekton', 'Orianna']"
1095,"['Leblanc', 'Rakan', 'Ashe', 'Kassadin', 'Renekton']","['Zac', 'Tristana', 'Kalista', 'Jayce', 'Orianna']"
1096,"['Leblanc', 'Rakan', 'Ashe', 'Renekton', 'Kassadin']","['Zac', 'Tristana', 'Kalista', 'Elise', 'Cassiopeia']"
1097,"['AurelionSol', 'Velkoz', 'Rakan', 'Gnar', 'Braum']","['Zac', 'Kalista', 'Maokai', 'Cassiopeia', 'Renekton']"
1098,"['Maokai', 'Cassiopeia', 'Thresh', 'Chogath', 'Taliyah']","['Kalista', 'AurelionSol', 'KogMaw', 'Renekton', 'Gnar']"
1099,"['AurelionSol', 'Velkoz', 'Rakan', 'Renekton', 'Camille']","['Zac', 'Kalista', 'Maokai', 'Chogath', 'Blitzcrank']"
1100,"['Cassiopeia', 'Lucian', 'KogMaw', 'Sejuani', 'Alistar']","['Zac', 'Kalista', 'Taliyah', 'Orianna', 'Corki']"
1101,"['Syndra', 'Taliyah', 'Orianna', 'Vladimir', 'Galio']","['Kalista', 'Lucian', 'Cassiopeia', 'Alistar', 'Gragas']"
1102,"['Cassiopeia', 'Lucian', 'KogMaw', 'Sejuani', 'Morgana']","['Kalista', 'Taliyah', 'Rakan', 'Syndra', 'Gnar']"
1103,"['Orianna', 'JarvanIV', 'Syndra', 'Chogath', 'Maokai']","['Kalista', 'KogMaw', 'Cassiopeia', 'Kennen', 'Elise']"
1104,"['Cassiopeia', 'Taliyah', 'Tristana', 'Thresh', 'Blitzcrank']","['Kalista', 'Lucian', 'Rakan', 'Camille', 'Leblanc']"
1105,"['Cassiopeia', 'Taliyah', 'Tristana', 'Gnar', 'Chogath']","['Kalista', 'Rumble', 'JarvanIV', 'Leblanc', 'Sejuani']"
1106,"['Leblanc', 'Galio', 'Xayah', 'Janna', 'Renekton']","['Kalista', 'JarvanIV', 'Cassiopeia', 'Gnar', 'Thresh']"
1107,"['Gnar', 'Tristana', 'Gragas', 'KogMaw', 'Jax']","['Kalista', 'Xayah', 'Chogath', 'Rumble', 'Maokai']"
1108,"['Tristana', 'Gnar', 'Gragas', 'Taliyah', 'KogMaw']","['Kalista', 'Xayah', 'Galio', 'Twitch', 'Syndra']"
1109,"['Galio', 'Maokai', 'Chogath', 'Rumble', 'Lucian']","['Kalista', 'AurelionSol', 'Tristana', 'Velkoz', 'Taliyah']"
1110,"['Sejuani', 'Zac', 'Gragas', 'KogMaw', 'AurelionSol']","['Kalista', 'Xayah', 'Galio', 'Gnar', 'Rumble']"
1111,"['AurelionSol', 'Chogath', 'Kalista', 'KogMaw', 'Taliyah']","['JarvanIV', 'Galio', 'Xayah', 'Lucian', 'RekSai']"
1112,"['Maokai', 'Galio', 'Chogath', 'Orianna', 'Syndra']","['AurelionSol', 'Kalista', 'Gnar', 'Taliyah', 'Corki']"
1113,"['AurelionSol', 'Kalista', 'Gnar', 'Taliyah', 'Lucian']","['JarvanIV', 'Rakan', 'Chogath', 'Syndra', 'Cassiopeia']"
1114,"['JarvanIV', 'Rakan', 'Gnar', 'Nidalee', 'Gragas']","['AurelionSol', 'Kalista', 'Chogath', 'Syndra', 'Cassiopeia']"
1115,"['Zed', 'Ahri', 'Leblanc']","['RekSai', 'LeeSin', 'Kassadin']"
1116,"['LeeSin', 'Rengar', 'Janna']","['RekSai', 'Azir', 'JarvanIV']"
1117,"['LeeSin', 'Leblanc', 'Zed']","['RekSai', 'Leona', 'Kalista']"
1118,"['Irelia', 'Zed', 'RekSai']","['Graves', 'Renekton', 'Azir']"
1119,"['Thresh', 'Hecarim', 'Janna']","['RekSai', 'Sejuani', 'Xerath']"
1120,"['Azir', 'Caitlyn', 'Kassadin']","['RekSai', 'Zed', 'Leblanc']"
1121,"['Cassiopeia', 'Orianna', 'Rengar']","['Leblanc', 'JarvanIV', 'RekSai']"
1122,"['Cassiopeia', 'Kassadin', 'Thresh']","['Zed', 'RekSai', 'Leblanc']"
1123,"['LeeSin', 'Kassadin', 'Lissandra']","['RekSai', 'JarvanIV', 'Gnar']"
1124,"['Janna', 'Irelia', 'LeeSin']","['Cassiopeia', 'RekSai', 'Leblanc']"
1125,"['Gnar', 'Zed', 'LeeSin']","['Azir', 'RekSai', 'Leblanc']"
1126,"['Xerath', 'JarvanIV', 'Jax']","['Cassiopeia', 'Sivir', 'Thresh']"
1127,"['LeeSin', 'Azir', 'JarvanIV']","['Zed', 'Kassadin', 'RekSai']"
1128,"['Cassiopeia', 'Irelia', 'Sejuani']","['Kassadin', 'Azir', 'Janna']"
1129,"['Cassiopeia', 'Zed', 'Gnar']","['Irelia', 'Kassadin', 'Leblanc']"
1130,"['Rengar', 'Lissandra', 'Gnar']","['Azir', 'RekSai', 'Kassadin']"
1131,"['LeeSin', 'Irelia', 'Lissandra']","['Xerath', 'Jax', 'RekSai']"
1132,"['Zed', 'Janna', 'Azir']","['Kassadin', 'Irelia', 'Lissandra']"
1133,"['Cassiopeia', 'Hecarim', 'Irelia']","['Zed', 'Lissandra', 'Azir']"
1134,"['Azir', 'Cassiopeia', 'Lissandra']","['RekSai', 'LeeSin', 'Gnar']"
1135,"['Kassadin', 'RekSai', 'JarvanIV']","['Sion', 'Irelia', 'LeeSin']"
1136,"['Azir', 'Kassadin', 'JarvanIV']","['Rengar', 'Zed', 'Lissandra']"
1137,"['Kassadin', 'Irelia', 'Leblanc']","['Zed', 'Kalista', 'Sivir']"
1138,"['Jax', 'Ahri', 'Thresh']","['Zed', 'Azir', 'RekSai']"
1139,"['Graves', 'Nidalee', 'Azir']","['Draven', 'Gnar', 'Cassiopeia']"
1140,"['Jax', 'JarvanIV', 'Thresh']","['Zed', 'Annie', 'Leona']"
1141,"['Sivir', 'Gnar', 'Zed']","['Nidalee', 'Azir', 'Cassiopeia']"
1142,"['Sivir', 'Rengar', 'Ahri']","['Azir', 'Thresh', 'Leblanc']"
1143,"['Zed', 'Kalista', 'Kassadin']","['Nidalee', 'Azir', 'Leblanc']"
1144,"['Zed', 'Lulu', 'Nidalee']","['Kassadin', 'Leblanc', 'Irelia']"
1145,"['Graves', 'Nidalee', 'RekSai']","['Jax', 'Ahri', 'Gnar']"
1146,"['Nidalee', 'Lissandra', 'Gnar']","['Zed', 'Annie', 'Kassadin']"
1147,"['Azir', 'Annie', 'Gnar']","['Ahri', 'Kassadin', 'Zed']"
1148,"['Zed', 'Lissandra', 'Kassadin']","['JarvanIV', 'Gnar', 'Ahri']"
1149,"['Azir', 'Graves', 'Gnar']","['Cassiopeia', 'JarvanIV', 'Kassadin']"
1150,"['Nidalee', 'Zed', 'Leblanc']","['JarvanIV', 'Ahri', 'Kassadin']"
1151,"['Jax', 'Xerath', 'Kassadin']","['Nidalee', 'Gnar', 'Lissandra']"
1152,"['Irelia', 'Lissandra', 'Gnar']","['Azir', 'Cassiopeia', 'Kassadin']"
1153,"['Leblanc', 'Xerath', 'Zed']","['Kassadin', 'Kalista', 'Ahri']"
1154,"['Azir', 'Cassiopeia', 'Gnar']","['Lissandra', 'JarvanIV', 'Kassadin']"
1155,"['Cassiopeia', 'Kalista', 'Annie']","['Leblanc', 'Zed', 'Kassadin']"
1156,['Jax'],"['Rengar', 'Kassadin', 'Nidalee']"
1157,"['Kennen', 'Gnar', 'Kassadin']","['Lissandra', 'Rengar', 'Leona']"
1158,"['Leblanc', 'Zed', 'Thresh']","['Sivir', 'Kassadin', 'Ahri']"
1159,"['Zed', 'Lissandra', 'Sivir']","['Cassiopeia', 'Maokai', 'Nidalee']"
1160,"['Nidalee', 'Gnar', 'Kassadin']","['Rumble', 'Rengar', 'Lissandra']"
1161,"['Kassadin', 'Ahri', 'Lissandra']",['Zed']
1162,"['Leblanc', 'Irelia', 'Ahri']","['Draven', 'Kalista', 'Cassiopeia']"
1163,"['Cassiopeia', 'Nidalee', 'Kassadin']","['Jax', 'Gnar', 'RekSai']"
1164,"['Zed', 'Irelia', 'Lissandra']","['Kassadin', 'Nidalee', 'Graves']"
1165,"['Rengar', 'Rumble', 'Lissandra']","['Jax', 'Sivir', 'Morgana']"
1166,"['Zed', 'Graves', 'Kassadin']","['Fizz', 'Irelia', 'Corki']"
1167,"['Sivir', 'Annie', 'Thresh']","['Zed', 'Kassadin', 'Irelia']"
1168,"['Nidalee', 'RekSai', 'Leblanc']","['Kassadin', 'Thresh', 'Lissandra']"
1169,"['Draven', 'Cassiopeia', 'Kalista']","['Nidalee', 'Kassadin', 'RekSai']"
1170,"['Xerath', 'Jax', 'Morgana']","['Annie', 'Kalista', 'Gnar']"
1171,"['Annie', 'Cassiopeia', 'Kassadin']","['Zed', 'Lissandra', 'Rengar']"
1172,"['Kassadin', 'Lissandra', 'Ahri']","['Nidalee', 'Lulu', 'RekSai']"
1173,"['Lissandra', 'Leblanc', 'JarvanIV']","['Kassadin', 'Nidalee', 'RekSai']"
1174,"['Zed', 'Morgana', 'Kassadin']","['Nidalee', 'Cassiopeia', 'Maokai']"
1175,"['Jax', 'RekSai', 'Morgana']","['Irelia', 'Ahri', 'Zed']"
1176,"['Nidalee', 'Sejuani', 'Zed']","['Sivir', 'Annie', 'RekSai']"
1177,"['Irelia', 'Ahri', 'Lissandra']","['Draven', 'Cassiopeia', 'JarvanIV']"
1178,"['Lissandra', 'RekSai', 'Ahri']","['Maokai', 'Morgana', 'Zed']"
1179,"['Cassiopeia', 'Annie', 'RekSai']","['Zed', 'Kalista', 'Morgana']"
1180,"['Annie', 'Leblanc', 'Nidalee']","['KogMaw', 'Zed', 'RekSai']"
1181,"['Nidalee', 'Sivir', 'Cassiopeia']","['Kalista', 'Lissandra', 'Irelia']"
1182,"['Nidalee', 'Ahri', 'Zed']","['Rumble', 'Lissandra', 'Hecarim']"
1183,"['Draven', 'Kalista', 'Cassiopeia']","['RekSai', 'Ahri', 'Nidalee']"
1184,"['Jax', 'Leblanc', 'Ahri']","['Zed', 'Nidalee', 'RekSai']"
1185,"['Leona', 'Graves', 'Nidalee']","['Zed', 'Sejuani', 'RekSai']"
1186,"['Rumble', 'Zed', 'Sejuani']","['Maokai', 'KogMaw', 'Leblanc']"
1187,"['Leblanc', 'Nidalee', 'Cassiopeia']","['Kalista', 'Morgana', 'RekSai']"
1188,"['Sivir', 'Annie', 'Rumble']","['Blitzcrank', 'Nidalee', 'Sejuani']"
1189,"['Zed', 'Graves', 'Lucian']","['Cassiopeia', 'KogMaw', 'Nidalee']"
1190,"['Thresh', 'Zed', 'Leblanc']","['Sejuani', 'Olaf', 'Maokai']"
1191,"['Zed', 'Rumble', 'Hecarim']","['Sivir', 'Ahri', 'Maokai']"
1192,"['Cassiopeia', 'Maokai', 'Karthus']","['Leblanc', 'Diana', 'Hecarim']"
1193,"['Zed', 'KogMaw', 'Maokai']","['Cassiopeia', 'Hecarim', 'Jax']"
1194,"['Annie', 'Kalista', 'Zed']","['Karthus', 'Lulu', 'KogMaw']"
1195,"['Leblanc', 'Zed', 'TwistedFate']","['Cassiopeia', 'Annie', 'Nunu']"
1196,"['Rumble', 'Lissandra', 'Zed']","['Maokai', 'Morgana', 'Lulu']"
1197,"['Nidalee', 'Fizz', 'Cassiopeia']","['Chogath', 'Sejuani', 'Graves']"
1198,"['Karthus', 'Sejuani', 'Lulu']","['Jax', 'Hecarim', 'Diana']"
1199,"['Morgana', 'Diana', 'Sejuani']","['Cassiopeia', 'KogMaw', 'Hecarim']"
1200,"['Leblanc', 'Jax', 'TwistedFate']","['Kalista', 'Lulu', 'Cassiopeia']"
1201,"['Maokai', 'Lulu', 'Karthus']","['Annie', 'Hecarim', 'Zed']"
1202,"['Lucian', 'Leblanc', 'RekSai']","['Zed', 'Sejuani', 'Nidalee']"
1203,"['Thresh', 'KogMaw', 'Lulu']","['Hecarim', 'Cassiopeia', 'Sejuani']"
1204,"['Cassiopeia', 'KogMaw', 'Hecarim']","['Maokai', 'Lulu', 'Gnar']"
1205,"['TwistedFate', 'Diana', 'Annie']","['Leona', 'Lulu', 'Corki']"
1206,"['Rumble', 'Hecarim', 'Azir']","['Cassiopeia', 'Morgana', 'Thresh']"
1207,"['Lulu', 'Maokai', 'RekSai']","['Urgot', 'Jax', 'Gragas']"
1208,"['Kalista', 'RekSai', 'Leblanc']","['Cassiopeia', 'Gragas', 'Viktor']"
1209,"['Urgot', 'Azir', 'Alistar']","['Thresh', 'Leblanc', 'Maokai']"
1210,"['Leblanc', 'RekSai', 'Urgot']","['Cassiopeia', 'Gragas', 'Kalista']"
1211,"['Ashe', 'RekSai', 'Thresh']","['Alistar', 'Kalista', 'Urgot']"
1212,"['Cassiopeia', 'Draven', 'Maokai']","['Leblanc', 'Jax', 'RekSai']"
1213,"['Gragas', 'Lucian', 'RekSai']","['Kalista', 'Urgot', 'Sejuani']"
1214,"['Urgot', 'Kassadin', 'Leblanc']","['Hecarim', 'Rumble', 'Gragas']"
1215,"['Cassiopeia', 'Morgana', 'Thresh']","['Leblanc', 'Alistar', 'Kalista']"
1216,"['RekSai', 'Jax', 'Ryze']","['Vladimir', 'Leblanc', 'Gragas']"
1217,"['Lulu', 'Alistar', 'Kalista']","['Hecarim', 'RekSai', 'Rumble']"
1218,"['Viktor', 'Azir', 'Lucian']","['Maokai', 'Sivir', 'Ryze']"
1219,"['Alistar', 'Ryze', 'Gragas']","['RekSai', 'Hecarim', 'Leblanc']"
1220,"['Draven', 'Azir', 'Kalista']","['KogMaw', 'Varus', 'RekSai']"
1221,"['Rumble', 'Hecarim', 'Kalista']","['Thresh', 'Lucian', 'Viktor']"
1222,"['Kalista', 'Leblanc', 'Gragas']","['Ryze', 'Azir', 'RekSai']"
1223,"['Lulu', 'Azir', 'Alistar']","['Ryze', 'Morgana', 'Kalista']"
1224,"['Urgot', 'Alistar', 'Leblanc']","['Ryze', 'Maokai', 'Kalista']"
1225,"['Cassiopeia', 'Draven', 'Alistar']","['Leblanc', 'Rumble', 'Ryze']"
1226,"['KogMaw', 'Morgana', 'Ekko']","['Alistar', 'Urgot', 'Leblanc']"
1227,"['Gragas', 'Kalista', 'Ekko']","['Ryze', 'RekSai', 'Leblanc']"
1228,"['Ryze', 'Kalista', 'Kassadin']","['Leblanc', 'KogMaw', 'Ekko']"
1229,"['Vladimir', 'Kassadin', 'Leblanc']","['Rumble', 'Ryze', 'Alistar']"
1230,"['Leblanc', 'Hecarim', 'Fizz']","['Maokai', 'Morgana', 'Ryze']"
1231,"['Jax', 'Morgana', 'Thresh']","['Ryze', 'Rumble', 'Alistar']"
1232,"['Kalista', 'Gragas', 'Ekko']","['Ryze', 'RekSai', 'Leblanc']"
1233,"['Draven', 'Maokai', 'Alistar']","['Leblanc', 'Fizz', 'Ryze']"
1234,"['Leblanc', 'Maokai', 'Azir']","['Ryze', 'Morgana', 'Gnar']"
1235,"['Kalista', 'Fizz', 'RekSai']","['KogMaw', 'Morgana', 'Ryze']"
1236,"['Gragas', 'Hecarim', 'Ryze']","['Morgana', 'Maokai', 'Jax']"
1237,"['Azir', 'Rumble', 'Jayce']","['Kalista', 'Ekko', 'Ryze']"
1238,"['Rumble', 'Jayce', 'Ryze']","['Alistar', 'Thresh', 'Morgana']"
1239,"['KogMaw', 'Gragas', 'Ryze']","['Azir', 'RekSai', 'Leblanc']"
1240,"['Fizz', 'Sivir', 'Rumble']","['Draven', 'Kalista', 'Azir']"
1241,"['Gragas', 'Jayce', 'Azir']","['RekSai', 'Kalista', 'Ekko']"
1242,"['Jax', 'Morgana', 'Xerath']","['RekSai', 'Rumble', 'Kalista']"
1243,"['Hecarim', 'Rumble', 'Ryze']","['Draven', 'Azir', 'Kalista']"
1244,"['Morgana', 'Maokai', 'Cassiopeia']","['Azir', 'Gragas', 'Fizz']"
1245,"['Ryze', 'Alistar', 'Ekko']","['Rumble', 'Kalista', 'Gragas']"
1246,"['Draven', 'Shen', 'Vladimir']","['LeeSin', 'Jayce', 'Azir']"
1247,"['Jax', 'Gragas', 'Kalista']","['Ryze', 'Sivir', 'RekSai']"
1248,"['Fizz', 'Yasuo', 'Shen']","['Sivir', 'Rumble', 'Morgana']"
1249,"['Thresh', 'Fizz', 'Ekko']","['Kalista', 'Azir', 'Riven']"
1250,"['Cassiopeia', 'Lulu', 'Vayne']","['Azir', 'Vladimir', 'Thresh']"
1251,"['Fizz', 'Shen', 'Ahri']","['RekSai', 'Ryze', 'Olaf']"
1252,"['Morgana', 'Shen', 'Ryze']","['Jayce', 'Fizz', 'Kalista']"
1253,"['Vladimir', 'Thresh', 'Azir']","['Shen', 'Kalista', 'Sivir']"
1254,"['Vladimir', 'Ekko', 'Kalista']","['Morgana', 'Jax', 'KogMaw']"
1255,"['Cassiopeia', 'Shen', 'Ekko']","['Kalista', 'Sivir', 'Thresh']"
1256,"['Kalista', 'Nidalee', 'Draven']",['Hecarim']
1257,"['Lulu', 'Gnar', 'RekSai']","['Kalista', 'Azir', 'Jayce']"
1258,"['Jayce', 'Sivir', 'Rumble']","['Jax', 'Morgana', 'Thresh']"
1259,"['Kalista', 'Lulu', 'Gragas']","['Morgana', 'Fizz', 'Sivir']"
1260,"['Rumble', 'Fizz', 'Kalista']","['MasterYi', 'Ryze', 'Sivir']"
1261,"['Morgana', 'Jax', 'Thresh']","['Lulu', 'Gnar', 'Alistar']"
1262,"['Kalista', 'Varus', 'Viktor']","['Fizz', 'Sivir', 'Ryze']"
1263,"['Draven', 'Nidalee', 'LeeSin']","['Ryze', 'Hecarim', 'Jayce']"
1264,"['Kalista', 'Lulu', 'Gragas']","['MasterYi', 'Sivir', 'Ryze']"
1265,"['Morgana', 'KogMaw', 'Ryze']","['Lulu', 'Kalista', 'Sivir']"
1266,"['Ryze', 'Sivir', 'Morgana']","['Draven', 'Kalista', 'Nidalee']"
1267,"['Gragas', 'Fizz', 'RekSai']","['Azir', 'Varus', 'Kalista']"
1268,"['Jax', 'Ezreal', 'Morgana']","['Vladimir', 'Kalista', 'Alistar']"
1269,"['Olaf', 'Ryze', 'RekSai']","['Thresh', 'Kalista', 'Sivir']"
1270,"['Ryze', 'Azir', 'Sivir']","['Kalista', 'Shen', 'RekSai']"
1271,"['Gragas', 'Fizz', 'RekSai']","['Azir', 'Ryze', 'Nidalee']"
1272,"['Jax', 'Kalista', 'Ezreal']","['Jayce', 'Fizz', 'Sivir']"
1273,"['MasterYi', 'TwistedFate', 'Kalista']","['Varus', 'KogMaw', 'Morgana']"
1274,"['Thresh', 'Alistar', 'Varus']","['RekSai', 'Olaf', 'Sivir']"
1275,"['Draven', 'Nidalee', 'Azir']","['Gnar', 'Kalista', 'Ezreal']"
1276,"['Rumble', 'Thresh', 'Sivir']","['Jax', 'Morgana', 'Ezreal']"
1277,"['Vladimir', 'Evelynn', 'Ryze']","['Draven', 'Nidalee', 'Sivir']"
1278,"['Lulu', 'RekSai', 'Sivir']","['Ryze', 'Morgana', 'Gragas']"
1279,"['Vladimir', 'Rumble', 'Varus']","['Sivir', 'Ryze', 'Gangplank']"
1280,"['Jayce', 'Kalista', 'Viktor']","['Sivir', 'Ryze', 'Azir']"
1281,"['Kalista', 'Rumble', 'Sivir']","['Jax', 'Morgana', 'Ryze']"
1282,"['Draven', 'Nidalee', 'LeeSin']","['Ryze', 'Sivir', 'Kalista']"
1283,"['Nidalee', 'Jayce', 'Azir']","['Ryze', 'Sivir', 'RekSai']"
1284,"['RekSai', 'Jayce', 'Rumble']","['Sivir', 'Evelynn', 'Ryze']"
1285,"['Fizz', 'Nidalee', 'Jayce']","['Ryze', 'Shen', 'Sivir']"
1286,"['Fizz', 'Varus', 'Viktor']","['Draven', 'Ryze', 'Thresh']"
1287,"['Orianna', 'Shen', 'Alistar']","['Ryze', 'Jayce', 'Morgana']"
1288,"['Ryze', 'Alistar', 'Rumble']","['Sivir', 'Shen', 'TahmKench']"
1289,"['Vladimir', 'Varus', 'Alistar']","['Sivir', 'Ryze', 'Rumble']"
1290,"['Nidalee', 'Fizz', 'Jayce']","['TwistedFate', 'Ryze', 'Shen']"
1291,"['Morgana', 'Jax', 'Fizz']","['Kalista', 'Draven', 'Irelia']"
1292,"['Kalista', 'Thresh', 'Shen']","['Nidalee', 'Ryze', 'Sivir']"
1293,"['Ryze', 'KogMaw', 'TwistedFate']","['Nidalee', 'Shen', 'Sivir']"
1294,"['Azir', 'Jayce', 'Thresh']","['Viktor', 'Ryze', 'Corki']"
1295,"['Shen', 'Orianna', 'Syndra']","['Jayce', 'RekSai', 'Janna']"
1296,"['Alistar', 'Maokai', 'Nidalee']","['Jax', 'Ryze', 'Morgana']"
1297,"['Draven', 'Cassiopeia', 'Urgot']","['Nidalee', 'RekSai', 'LeeSin']"
1298,"['Nidalee', 'Leblanc', 'Zed']","['Draven', 'Cassiopeia', 'Urgot']"
1299,"['Draven', 'Cassiopeia', 'Urgot']","['Nidalee', 'Leblanc', 'Lulu']"
1300,"['Cassiopeia', 'Annie', 'Nidalee']","['Diana', 'Gragas', 'Sejuani']"
1301,"['Diana', 'Gragas', 'Nidalee']","['Cassiopeia', 'Annie', 'KogMaw']"
1302,"['Diana', 'Gragas', 'Sejuani']","['Cassiopeia', 'Annie', 'Nidalee']"
1303,"['Diana', 'Gragas', 'Sejuani']","['KogMaw', 'Morgana', 'Udyr']"
1304,"['Maokai', 'Lulu', 'Sion']","['Rumble', 'Hecarim', 'Shyvana']"
1305,"['Rumble', 'Shyvana', 'Hecarim']","['Maokai', 'Lulu', 'Diana']"
1306,"['Maokai', 'Lulu', 'Diana']","['Rumble', 'Hecarim', 'Shyvana']"
1307,"['Rumble', 'Shyvana', 'Hecarim']","['Maokai', 'Lulu', 'Sivir']"
1308,"['Maokai', 'Lulu', 'Sivir']","['Rumble', 'Hecarim', 'Shyvana']"
1309,"['Syndra', 'Hecarim', 'Annie']","['Graves', 'Lucian', 'Lulu']"
1310,"['Syndra', 'Hecarim', 'Cassiopeia']","['Graves', 'Lucian', 'Lulu']"
1311,"['Graves', 'Lucian', 'Lulu']","['Syndra', 'Hecarim', 'Cassiopeia']"
1312,"['Cassiopeia', 'Hecarim', 'Morgana']","['Graves', 'Lucian', 'Lulu']"
1313,"['Hecarim', 'Cassiopeia', 'Morgana']","['Graves', 'Lucian', 'LeeSin']"
1314,"['Lucian', 'Graves', 'Zed']","['Gragas', 'KogMaw', 'Jinx']"
1315,"['Lucian', 'Graves', 'Caitlyn']","['Gragas', 'KogMaw', 'Jinx']"
1316,"['Graves', 'Caitlyn', 'Lulu']","['Gragas', 'KogMaw', 'Jinx']"
1317,"['Graves', 'Caitlyn', 'Lulu']","['KogMaw', 'Jinx', 'Zed']"
1318,"['Graves', 'Caitlyn', 'Lulu']","['Gragas', 'KogMaw', 'Zed']"
1319,"['Cassiopeia', 'Morgana', 'Annie']","['Zed', 'Leblanc', 'Hecarim']"
1320,"['Zed', 'Leblanc', 'Hecarim']","['Cassiopeia', 'Morgana', 'Annie']"
1321,"['Cassiopeia', 'Morgana', 'Annie']","['Zed', 'Leblanc', 'RekSai']"
1322,"['Zed', 'Leblanc', 'Hecarim']","['Cassiopeia', 'Morgana', 'Annie']"
1323,"['Cassiopeia', 'Morgana', 'Annie']","['Zed', 'Leblanc', 'Hecarim']"
1324,"['Jax', 'Morgana', 'Elise']","['Kalista', 'Rumble', 'Sivir']"
1325,"['Morgana', 'Jax', 'Elise']","['Kalista', 'Rumble', 'Thresh']"
1326,"['Kalista', 'Rumble', 'Thresh']","['Jax', 'Morgana', 'Azir']"
1327,"['Lulu', 'Fizz', 'Janna']","['Kalista', 'Irelia', 'Orianna']"
1328,"['Lulu', 'Fizz', 'Janna']","['Kalista', 'Irelia', 'Orianna']"
1329,"['Nautilus', 'Morgana', 'Irelia']","['Lulu', 'Fizz', 'Janna']"
1330,"['Lulu', 'Fizz', 'Janna']","['Nautilus', 'Morgana', 'Irelia']"
1331,"['Nautilus', 'Morgana', 'Sivir']","['Lulu', 'Fizz', 'Kalista']"
1332,"['Vayne', 'Viktor', 'Elise']","['Sivir', 'Kalista', 'Thresh']"
1333,"['Thresh', 'Sivir']","['Viktor', 'Vayne', 'Elise']"
1334,"['Vayne', 'Viktor', 'Lulu']","['Sivir', 'Kalista', 'Thresh']"
1335,"['Vayne', 'Viktor', 'Lulu']","['Sivir', 'Kalista', 'Shen']"
1336,"['Varus', 'Orianna', 'Viktor']","['Janna', 'Kalista', 'Lulu']"
1337,"['Varus', 'Orianna', 'Viktor']","['Kalista', 'Janna', 'Lulu']"
1338,"['Varus', 'Orianna', 'Viktor']","['Kalista', 'Azir', 'Ahri']"
1339,"['Varus', 'Viktor', 'Elise']","['Kalista', 'Lulu', 'Sivir']"
1340,"['Kalista', 'Lulu', 'Fizz']","['Viktor', 'Morgana', 'Sivir']"
1341,"['Viktor', 'Morgana', 'Elise']","['Kalista', 'Lulu', 'Ahri']"
1342,"['Kalista', 'KogMaw', 'Ahri']","['Sivir', 'Azir', 'Riven']"
1343,"['Azir', 'Viktor', 'Riven']","['Kalista', 'KogMaw', 'Varus']"
1344,"['Kalista', 'KogMaw', 'Varus']","['Gangplank', 'Sivir', 'Viktor']"
1345,"['Azir', 'Shen', 'Sivir']","['Kalista', 'KogMaw', 'Varus']"
